hgncid,uniprot_id,protein_names,targetclass,go_function
DIMT1,Q9UNQ2,"Probable dimethyladenosine transferase (EC 2.1.1.183) (DIM1 dimethyladenosine transferase 1 homolog) (DIM1 dimethyladenosine transferase 1-like) (Probable 18S rRna (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase) (Probable 18S rRna dimethylase) (Probable S-adenosylmethionine-6-N',N'-adenosyl(rRna) dimethyltransferase)",Enzyme_Transferase,"rRNA (adenine-N6,N6-)-dimethyltransferase activity; methyltransferase activity; N-methyltransferase activity; RNA methyltransferase activity; rRNA methyltransferase activity; S-adenosylmethionine-dependent methyltransferase activity; rRNA (adenine) methyltransferase activity; transferase activity, transferring one-carbon groups; catalytic activity, acting on RNA; catalytic activity, acting on a rRNA"
SZT2,Q5T011,KICSTOR complex protein SZT2 (Seizure threshold 2 protein homolog),Other,NA
PCDHB16,Q9NRJ7,Protocadherin beta-16 (PCDH-beta-16) (Protocadherin-3X),Receptor_all_others,NA
PDZD8,Q8NEN9,PDZ domain-containing protein 8 (Sarcoma antigen NY-SAR-84/NY-SAR-104),Other,NA
GINM1,Q9NU53,Glycoprotein integral membrane protein 1,Other,"""NA"""
DDI2,Q5TDH0,Protein DDI1 homolog 2 (EC 3.4.23.-),Other,"endopeptidase activity; aspartic-type endopeptidase activity; peptidase activity; ubiquitin-like protein binding; ubiquitin binding; aspartic-type peptidase activity; peptidase activity, acting on L-amino acid peptides"
SUN1,O94901,SUN domain-containing protein 1 (Protein unc-84 homolog A) (Sad1/unc-84 protein-like 1),Other,NA
POPDC2,Q9HBU9,Popeye domain-containing protein 2 (Popeye protein 2),Other,NA
SCAP,Q12770,Sterol regulatory element-binding protein cleavage-activating protein (SCAP) (SREBP cleavage-activating protein),Other,NA
NEK10,Q6ZWH5,Serine/threonine-protein kinase Nek10 (EC 2.7.11.1) (Never in mitosis A-related kinase 10) (NimA-related protein kinase 10),Kinase_Protein,protein kinase activity
ITPR3,Q14573,"Inositol 1,4,5-trisphosphate receptor type 3 (IP3 receptor isoform 3) (IP3R 3) (InsP3R3) (Type 3 inositol 1,4,5-trisphosphate receptor) (Type 3 InsP3 receptor)",Ion Channel,"ion channel activity; intracellular ligand-gated ion channel activity; inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity; cation channel activity; calcium channel activity; cation transmembrane transporter activity; calcium ion transmembrane transporter activity; channel activity; ligand-gated ion channel activity; calcium-release channel activity; passive transmembrane transporter activity; ligand-gated channel activity; gated channel activity; substrate-specific channel activity; ion gated channel activity; inorganic cation transmembrane transporter activity; alcohol binding; metal ion transmembrane transporter activity; inositol 1,4,5 trisphosphate binding; ligand-gated cation channel activity; ligand-gated calcium channel activity"
NCAPH,Q15003,Condensin complex subunit 2 (Barren homolog protein 1) (Chromosome-associated protein H) (hCAP-H) (Non-SMC condensin I complex subunit H) (XCAP-H homolog),Other,NA
ARL10,Q8N8L6,ADP-ribosylation factor-like protein 10,Other,NA
DNAJC27,Q9NZQ0,DnaJ homolog subfamily C member 27 (Rab and DnaJ domain-containing protein),Other,"""NA"""
ATOX1,O00244,Copper transport protein ATOX1 (Metal transport protein ATX1),Other,copper ion binding; metallochaperone activity; copper chaperone activity; copper-dependent protein binding; metal ion binding; transition metal ion binding; molecular carrier activity
NR1D1,P20393,Nuclear receptor subfamily 1 group D member 1 (Rev-erbA-alpha) (V-erbA-related protein 1) (EAR-1),Nuclear Receptor,"transcription regulatory region sequence-specific DNA binding; RNA polymerase II regulatory region sequence-specific DNA binding; RNA polymerase II proximal promoter sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding; proximal promoter sequence-specific DNA binding; RNA polymerase II regulatory region DNA binding; regulatory region nucleic acid binding; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific; transcription cofactor binding; transcription corepressor binding; DNA-binding transcription repressor activity, RNA polymerase II-specific; double-stranded DNA binding; transcription coregulator activity; transcription corepressor activity; nuclear receptor activity; transcription factor binding; heme binding; transcription regulatory region DNA binding; tetrapyrrole binding; cofactor binding; transcription factor activity, direct ligand regulated sequence-specific DNA binding; sequence-specific double-stranded DNA binding"
CDC37L1,Q7L3B6,Hsp90 co-chaperone Cdc37-like 1 (Hsp90-associating relative of Cdc37),Other,NA
CCL3L1,P16619,C-C motif chemokine 3-like 1 (G0/G1 switch regulatory protein 19-2) (LD78-beta(1-70)) (PAT 464.2) (Small-inducible cytokine A3-like 1) (Tonsillar lymphocyte LD78 beta protein) [Cleaved into: LD78-beta(3-70); LD78-beta(5-70)],Extracellular Ligand,"""NA"""
MPP2,Q14168,MAGUK p55 subfamily member 2 (Discs large homolog 2) (Protein MPP2),Other,NA
ALKAL2,Q6UX46,ALK and LTK ligand 2 (Augmentor alpha) (AUG-alpha) (Protein FAM150B),Extracellular Ligand,enzyme activator activity; kinase regulator activity; kinase activator activity; protein kinase regulator activity; kinase binding; protein kinase binding; enzyme regulator activity; protein kinase activator activity; protein tyrosine kinase activator activity; receptor signaling protein tyrosine kinase activator activity; receptor tyrosine kinase binding; protein tyrosine kinase binding
ATP6AP1,Q15904,V-type proton ATPase subunit S1 (V-ATPase subunit S1) (Protein XAP-3) (V-ATPase Ac45 subunit) (V-ATPase S1 accessory protein) (Vacuolar proton pump subunit S1),Other,NA
SIDT2,Q8NBJ9,SID1 transmembrane family member 2,Other,"""NA"""
BANF1,O75531,"Barrier-to-autointegration factor (Breakpoint cluster region protein 1) [Cleaved into: Barrier-to-autointegration factor, N-terminally processed]",Other,protein N-terminus binding
TAL1,P17542,T-cell acute lymphocytic leukemia protein 1 (TAL-1) (Class A basic helix-loop-helix protein 17) (bHLHa17) (Stem cell protein) (T-cell leukemia/lymphoma protein 5),Transcriptional_Factor_all_others,transcription regulatory region sequence-specific DNA binding; RNA polymerase II regulatory region sequence-specific DNA binding; RNA polymerase II proximal promoter sequence-specific DNA binding; proximal promoter sequence-specific DNA binding; RNA polymerase II regulatory region DNA binding; regulatory region nucleic acid binding; RNA polymerase II transcription factor binding; chromatin binding; double-stranded DNA binding; transcription factor binding; histone deacetylase binding; transcription regulatory region DNA binding; E-box binding; sequence-specific double-stranded DNA binding
CAST,P20810,Calpastatin (Calpain inhibitor) (Sperm BS-17 component),Other,enzyme inhibitor activity; endopeptidase inhibitor activity; enzyme regulator activity; peptidase inhibitor activity; peptidase regulator activity; endopeptidase regulator activity
TMEM260,Q9NX78,Transmembrane protein 260,Other,"""NA"""
AKIP1,Q9NQ31,A-kinase-interacting protein 1 (Breast cancer-associated gene 3 protein) (PKA-interacting protein) (Proline-rich protein BCA3),Other,NA
MLEC,Q14165,Malectin,Other,NA
DDX47,Q9H0S4,Probable ATP-dependent Rna helicase DDX47 (EC 3.6.4.13) (DEAD box protein 47),Enzyme_all_others,NA
GJA4,P35212,Gap junction alpha-4 protein (Connexin-37) (Cx37),Ion Channel,NA
FAM193B,Q96PV7,Protein FAM193B,Other,NA
LRRCC1,Q9C099,Leucine-rich repeat and coiled-coil domain-containing protein 1 (Centrosomal leucine-rich repeat and coiled-coil domain-containing protein),Other,"""NA"""
SP4,Q02446,Transcription factor Sp4 (SPR-1),Transcriptional_Factor_all_others,"""NA"""
CHAD,O15335,Chondroadherin (Cartilage leucine-rich protein),Extracellular_all_others,"""NA"""
MYLK2,Q9H1R3,"Myosin light chain kinase 2, skeletal/cardiac muscle (MLCK2) (EC 2.7.11.18)",Kinase_Protein,protein kinase activity; protein serine/threonine kinase activity; myosin light chain kinase activity
INO80E,Q8NBZ0,INO80 complex subunit E (Coiled-coil domain-containing protein 95),Other,"""NA"""
CNKSR3,Q6P9H4,Connector enhancer of kinase suppressor of ras 3 (Connector enhancer of KSR 3) (CNK homolog protein 3) (CNK3) (CNKSR family member 3) (Maguin-like protein),Other,NA
MYO3B,Q8WXR4,Myosin-IIIb (EC 2.7.11.1),Kinase_Protein,NA
AP4M1,O00189,AP-4 complex subunit mu-1 (AP-4 adaptor complex mu subunit) (Adaptor-related protein complex 4 subunit mu-1) (Mu subunit of AP-4) (Mu-adaptin-related protein 2) (mu-ARP2) (Mu4-adaptin) (mu4),Other,protein domain specific binding
ADCYAP1,P18509,Pituitary adenylate cyclase-activating polypeptide (PACAP) [Cleaved into: PACAP-related peptide (PRP-48); Pituitary adenylate cyclase-activating polypeptide 27 (PACAP-27) (PACAP27); Pituitary adenylate cyclase-activating polypeptide 38 (PACAP-38) (PACAP38)],Extracellular_all_others,hormone activity; neuropeptide hormone activity; pituitary adenylate cyclase activating polypeptide activity; receptor regulator activity; receptor ligand activity; hormone receptor binding; peptide hormone receptor binding
ZNF597,Q96LX8,Zinc finger protein 597,Transcriptional_Factor_all_others,NA
GADL1,Q6ZQY3,Acidic amino acid decarboxylase GADL1 (Aspartate 1-decarboxylase) (ADC) (HuADC) (EC 4.1.1.11) (Cysteine sulfinic acid decarboxylase) (CSADC) (HuCSADC) (EC 4.1.1.29) (Glutamate decarboxylase-like protein 1),Enzyme_all_others,lyase activity; carbon-carbon lyase activity; carboxy-lyase activity
CYP2W1,Q8TAV3,Cytochrome P450 2W1 (EC 1.14.14.-) (CYPIIW1),Enzyme_all_others,monooxygenase activity; oxidoreductase activity
GPR3,P46089,G-protein coupled receptor 3 (ACCA orphan receptor),7TM_Group1,"""NA"""
C8orf34,Q49A92,Uncharacterized protein C8orf34 (Protein VEST-1),Other,"""NA"""
C19orf44,Q9H6X5,Uncharacterized protein C19orf44,Other,"""NA"""
ISLR2,Q6UXK2,Immunoglobulin superfamily containing leucine-rich repeat protein 2 (Leucine-rich repeat domain and immunoglobulin domain-containing axon extension protein),Receptor_all_others,NA
DDX60,Q8IY21,Probable ATP-dependent Rna helicase DDX60 (EC 3.6.4.13) (DEAD box protein 60),Enzyme_all_others,double-stranded DNA binding; double-stranded RNA binding; single-stranded RNA binding
STX19,Q8N4C7,Syntaxin-19,Other,"""NA"""
CALHM4,Q5JW98,Calcium homeostasis modulator protein 4 (Protein FAM26D),Other,NA
KRTAP5-10,Q6L8G5,Keratin-associated protein 5-10 (Keratin-associated protein 5.10) (Ultrahigh sulfur keratin-associated protein 5.10),Other,NA
DNAJC5,Q9H3Z4,DnaJ homolog subfamily C member 5 (Ceroid-lipofuscinosis neuronal protein 4) (Cysteine string protein) (CSP),Other,NA
TULP1,O00294,Tubby-related protein 1 (Tubby-like protein 1),Other,"actin binding; phospholipid binding; phosphatidylinositol-4,5-bisphosphate binding; cytoskeletal protein binding; lipid binding; phosphatidylinositol binding; actin filament binding; phosphatidylinositol phosphate binding; phosphatidylinositol bisphosphate binding"
GPR39,O43194,G-protein coupled receptor 39,7TM_Group1,NA
RGL3,Q3MIN7,Ral guanine nucleotide dissociation stimulator-like 3 (RalGDS-like 3),Other,"""NA"""
SOX6,P35712,Transcription factor SOX-6,Transcriptional_Factor_all_others,"""NA"""
SPATA6L,Q8N4H0,Spermatogenesis associated 6-like protein,Other,NA
CRYM,Q14894,Ketimine reductase mu-crystallin (EC 1.5.1.25) (naDP-regulated thyroid-hormone-binding protein),Transcriptional_Factor_all_others,"nucleotide binding; oxidoreductase activity; oxidoreductase activity, acting on the CH-NH group of donors; oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor; hormone binding; thiomorpholine-carboxylate dehydrogenase activity; cofactor binding; NADP binding; coenzyme binding; thyroid hormone binding; nucleoside phosphate binding"
ERGIC3,Q9Y282,Endoplasmic reticulum-Golgi intermediate compartment protein 3 (Serologically defined breast cancer antigen NY-BR-84),Other,NA
ZNF256,Q9Y2P7,Zinc finger protein 256 (Bone marrow zinc finger 3) (BMZF-3),Transcriptional_Factor_all_others,"""NA"""
KLHL17,Q6TDP4,Kelch-like protein 17 (Actinfilin),Other,"""NA"""
ZNF774,Q6NX45,Zinc finger protein 774,Transcriptional_Factor_all_others,NA
TTC9,Q92623,Tetratricopeptide repeat protein 9A (TPR repeat protein 9A),Other,NA
SHKBP1,Q8TBC3,SH3KBP1-binding protein 1 (SETA-binding protein 1),Other,NA
FAM120A,Q9NZB2,Constitutive coactivator of PPAR-gamma-like protein 1 (Oxidative stress-associated Src activator) (Protein FAM120A),Transcriptional_Factor_all_others,"""NA"""
SLC35A4,Q96G79,Probable UDP-sugar transporter protein SLC35A4 (Solute carrier family 35 member A4),Transporter,"""NA"""
LRRC29,Q8WV35,Leucine-rich repeat-containing protein 29 (F-box and leucine-rich repeat protein 9) (F-box protein FBL9) (F-box/LRR-repeat protein 9),Other,NA
OR5A1,Q8NGJ0,Olfactory receptor 5A1 (OST181) (Olfactory receptor OR11-249),7TM_all_others,NA
GANAB,Q14697,Neutral alpha-glucosidase AB (EC 3.2.1.84) (Alpha-glucosidase 2) (Glucosidase II subunit alpha),Enzyme_all_others,"hydrolase activity, hydrolyzing O-glycosyl compounds; glucosidase activity; hydrolase activity, acting on glycosyl bonds; glucan 1,3-alpha-glucosidase activity; alpha-glucosidase activity; alpha-1,3-glucosidase activity"
GLS2,Q9UI32,"Glutaminase liver isoform, mitochondrial (GLS) (EC 3.5.1.2) (L-glutaminase) (L-glutamine amidohydrolase)",Enzyme_all_others,"glutaminase activity; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides"
DHX36,Q9H2U1,ATP-dependent Rna helicase DHX36 (EC 3.6.4.12) (EC 3.6.4.13) (DEAH box protein 36) (G4-resolvase 1) (G4R1) (MLE-like protein 1) (Rna helicase associated with AU-rich element ARE),Enzyme_all_others,"magnesium ion binding; transcription regulatory region sequence-specific DNA binding; RNA polymerase II regulatory region sequence-specific DNA binding; RNA polymerase II proximal promoter sequence-specific DNA binding; proximal promoter sequence-specific DNA binding; RNA polymerase II regulatory region DNA binding; regulatory region nucleic acid binding; G-quadruplex RNA binding; DNA helicase activity; double-stranded DNA binding; single-stranded DNA binding; RNA helicase activity; double-stranded RNA binding; mRNA binding; mRNA 3'-UTR binding; ATP-dependent DNA helicase activity; ATP-dependent RNA helicase activity; helicase activity; ATP-dependent helicase activity; DNA-dependent ATPase activity; RNA-dependent ATPase activity; pyrophosphatase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; ATPase activity; AU-rich element binding; nucleoside-triphosphatase activity; mRNA 3'-UTR AU-rich region binding; ATPase activity, coupled; transcription regulatory region DNA binding; metal ion binding; mRNA 5'-UTR binding; G-quadruplex DNA binding; telomerase RNA binding; purine NTP-dependent helicase activity; catalytic activity, acting on DNA; catalytic activity, acting on RNA; sequence-specific double-stranded DNA binding"
NANS,Q9NR45,Sialic acid synthase (N-acetylneuraminate synthase) (EC 2.5.1.56) (N-acetylneuraminate-9-phosphate synthase) (EC 2.5.1.57) (N-acetylneuraminic acid phosphate synthase) (N-acetylneuraminic acid synthase),Enzyme_all_others,"transferase activity, transferring alkyl or aryl (other than methyl) groups; N-acylneuraminate-9-phosphate synthase activity"
TAF1B,Q53T94,TATA box-binding protein-associated factor Rna polymerase I subunit B (Rna polymerase I-specific TBP-associated factor 63 kDa) (TAFI63) (TATA box-binding protein-associated factor 1B) (TBP-associated factor 1B) (Transcription initiation factor SL1/TIF-IB subunit B),Transcriptional_Factor_all_others,transcription regulatory region sequence-specific DNA binding; RNA polymerase I regulatory region DNA binding; core promoter sequence-specific DNA binding; core promoter binding; regulatory region nucleic acid binding; RNA polymerase I regulatory region sequence-specific DNA binding; RNA polymerase I CORE element sequence-specific DNA binding; double-stranded DNA binding; transcription factor binding; TBP-class protein binding; transcription regulatory region DNA binding; sequence-specific double-stranded DNA binding
MTTP,P55157,Microsomal triglyceride transfer protein large subunit,Other,lipid transporter activity; phospholipid transporter activity; protein heterodimerization activity
LCE1C,Q5T751,Late cornified envelope protein 1C (Late envelope protein 3),Other,"""NA"""
RIOK2,Q9BVS4,Serine/threonine-protein kinase RIO2 (EC 2.7.11.1) (RIO kinase 2),Kinase_Protein,NA
RGS22,Q8NE09,Regulator of G-protein signaling 22 (RGS22),Other,"""NA"""
AP4E1,Q9UPM8,AP-4 complex subunit epsilon-1 (AP-4 adaptor complex subunit epsilon) (Adaptor-related protein complex 4 subunit epsilon-1) (Epsilon subunit of AP-4) (Epsilon-adaptin),Other,NA
